Username,Description,PullReq,Ratings
capnproto / capnproto,Cap'n Proto serialization/RPC system - core tools and C++ library,"7,806",45 stars today
commaai / openpilot,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for over 85 supported car makes and models.,"18,988",455 stars today
nlohmann / json,JSON for Modern C++,"20,874",95 stars today
VowpalWabbit / vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.","7,270",3 stars today
catchorg / Catch2,"A modern, C++-native, header-only, test framework for unit-tests, TDD and BDD - using C++11, C++14, C++17 and later (or C++03 on the Catch1.x branch)","12,265",17 stars today
facebook / folly,An open-source C++ library developed and used at Facebook.,"15,778",20 stars today
bouffalolab / bl_iot_sdk,none,40,25 stars today
PaddlePaddle / PaddleOCR,"Awesome multilingual OCR toolkits based on PaddlePaddle （multilingual recognition: English, Chinese, Korean, Japanese, German, French etc. 3.5M practical ultra lightweight OCR system, support training and deployment among server, mobile, embedded and IoT devices）","5,638",308 stars today
pytorch / pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"43,465",35 stars today
bytedance / lightseq,LightSeq: A High Performance Inference Library for Sequence Processing and Generation,264,37 stars today
pybind / pybind11,Seamless operability between C++11 and Python,"8,181",6 stars today
GTAmodding / re3,GTA III,408,7 stars today
ocornut / imgui,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,"24,218",25 stars today
mmp / pbrt-v3,"Source code for pbrt, the renderer described in the third edition of ""Physically Based Rendering: From Theory To Implementation"", by Matt Pharr, Wenzel Jakob, and Greg Humphreys.","3,311",18 stars today
openvinotoolkit / openvino,OpenVINO™ Toolkit repository,"1,679",10 stars today
jxy-s / herpaderping,"Process Herpaderping proof of concept, tool, and technical deep dive. Process Herpaderping bypasses security products by obscuring the intentions of a process.",290,59 stars today
gabime / spdlog,Fast C++ logging library.,"9,919",10 stars today
godotengine / godot,Godot Engine – Multi-platform 2D and 3D game engine,"34,313",34 stars today
protocolbuffers / protobuf,Protocol Buffers - Google's data interchange format,"44,521",46 stars today
ClickHouse / ClickHouse,ClickHouse is a free analytics DBMS for big data,"12,675",25 stars today
grpc / grpc,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)","27,995",26 stars today
symless / synergy-core,"Open source core of Synergy, the keyboard and mouse sharing tool","7,739",3 stars today
onqtam / doctest,The fastest feature-rich C++11/14/17/20 single-header testing framework,"2,862",5 stars today
llvm / llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Note: the repository does not accept github pull requests at this moment. Please submit your patches at http://reviews.llvm.org.,"6,425",17 stars today
kitao / pyxel,A retro game engine for Python,"7,527",9 stars today
commaai / openpilot,openpilot is an open source driver assistance system. openpilot performs the functions of Automated Lane Centering and Adaptive Cruise Control for over 85 supported car makes and models.,"18,988","1,600 stars this week"
PaddlePaddle / PaddleOCR,"Awesome multilingual OCR toolkits based on PaddlePaddle （multilingual recognition: English, Chinese, Korean, Japanese, German, French etc. 3.5M practical ultra lightweight OCR system, support training and deployment among server, mobile, embedded and IoT devices）","5,638","1,166 stars this week"
changkun / modern-cpp-tutorial,📚 Modern C++ Tutorial: C++11/14/17/20 On the Fly,"8,213",287 stars this week
ossrs / srs,"SRS is a RTMP/HLS/WebRTC/SRT/GB28181 streaming cluster, high efficiency, stable and simple.","9,862",78 stars this week
